ball_x,ball_y,player_y
191,521,343
184,528,343
177,535,343
170,542,343
163,549,343
156,556,343
149,563,343
142,570,343
135,577,343
128,584,343
121,591,343
114,598,343
107,605,343
100,612,343
93,619,343
86,626,343
79,633,343
72,640,343
65,647,343
58,654,343
51,661,343
44,668,343
37,675,343
30,682,343
23,689,336
16,696,329
9,703,322
2,710,315
625,465,308
632,472,301
639,479,294
646,486,287
653,493,280
660,500,273
667,507,273
674,514,273
681,521,273
688,528,273
695,535,273
702,542,273
709,549,273
716,556,266
723,563,259
730,570,252
737,577,245
744,584,238
751,591,231
758,598,224
765,605,217
772,612,210
779,619,203
786,626,196
793,633,189
800,640,182
807,647,175
814,654,182
821,661,189
828,668,196
835,675,203
842,682,210
849,689,217
856,696,224
863,703,231
870,710,238
877,717,245
884,724,252
891,731,259
898,738,266
905,745,273
912,752,280
919,759,287
926,766,294
933,773,301
940,780,308
947,787,315
954,794,322
961,801,329
968,808,336
975,815,343
982,822,350
989,829,357
996,836,364
1003,843,371
1010,850,378
1017,857,385
1024,864,392
1031,871,399
1038,878,406
1045,885,413
1052,892,420
1059,899,427
1066,906,434
1073,913,441
1080,920,448
1087,927,455
1094,934,462
1101,927,469
1108,920,476
1115,913,483
1122,906,490
1129,899,497
1136,892,504
1143,885,511
1150,878,518
1157,871,525
1164,864,532
1171,857,539
1178,850,546
1185,843,553
1192,836,560
1199,829,567
1206,822,574
1213,815,581
1220,808,588
1227,801,595
1234,794,602
1241,787,609
1248,780,609
625,465,609
632,458,609
639,451,609
646,444,609
653,437,609
660,430,602
667,423,595
674,416,588
681,409,581
688,402,574
695,395,567
702,388,560
709,381,553
716,374,546
723,367,539
730,360,532
737,353,525
744,346,518
751,339,511
758,332,504
765,325,497
772,318,490
779,311,483
786,304,476
793,297,469
800,290,462
807,283,455
814,276,448
821,269,441
828,262,434
835,255,427
842,248,420
849,241,413
856,234,406
863,227,399
870,220,392
877,213,385
884,206,378
891,199,371
898,192,364
905,185,357
912,178,350
919,171,343
926,164,336
933,157,329
940,150,322
947,143,315
954,136,308
961,129,301
968,122,294
975,115,287
982,108,280
989,101,273
996,94,266
1003,87,259
1010,80,252
1017,73,245
1024,66,238
